"","taxon","gene","effect.size","p.value","std.err","df","q.value"
"1","Acutalibacteraceae","UniRef50_A0A3D1HCQ9",0.00583640414983534,2.71437405885422e-09,NA,NA,7.02208569025586e-06
"2","Acutalibacteraceae","UniRef50_A0A9D5THX3",0.00583640414983534,2.71437405885422e-09,NA,NA,7.02208569025586e-06
"3","Acutalibacteraceae","UniRef50_K1SXM7",0.00583640414983534,2.71437405885422e-09,NA,NA,7.02208569025586e-06
"4","Acutalibacteraceae","UniRef50_R5MR13",-0.00359495812134859,7.39799088655957e-09,NA,NA,1.43539518176472e-05
"5","Acutalibacteraceae","UniRef50_R5L3E6",-0.00346154143833025,9.86620918297376e-09,NA,NA,1.53143298938119e-05
"6","Acutalibacteraceae","UniRef50_A0A351X9P1",0.0031916539125951,2.06060046803458e-08,NA,NA,2.66538670540273e-05
"7","Acutalibacteraceae","UniRef50_A0A3D4XAB4",-0.00261995539654042,2.64368897884282e-08,NA,NA,2.93109573782844e-05
"8","Acutalibacteraceae","UniRef50_A0A9D1SJY3",0.00415029626173079,5.10246620510912e-08,NA,NA,3.60002183798654e-05
"9","Acutalibacteraceae","UniRef50_K1TPM6",0.00415029626173079,5.10246620510912e-08,NA,NA,3.60002183798654e-05
"10","Acutalibacteraceae","UniRef50_A0A9D1G687",0.00415029626173079,5.10246620510912e-08,NA,NA,3.60002183798654e-05
"11","Acutalibacteraceae","UniRef50_A0A533SMX1",0.00555489483091941,4.12672509497725e-08,NA,NA,3.60002183798654e-05
"12","Acutalibacteraceae","UniRef50_A0A369LAN2",-0.0026567052091306,7.02167850530344e-08,NA,NA,4.541270573305e-05
"13","Acutalibacteraceae","UniRef50_K1S720",0.0041507012886687,9.56090477899352e-08,NA,NA,5.30015585641205e-05
"14","Acutalibacteraceae","UniRef50_A0A376NWH0",0.0041507012886687,9.56090477899352e-08,NA,NA,5.30015585641205e-05
"15","Acutalibacteraceae","UniRef50_A0A1T4KV61",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"16","Acutalibacteraceae","UniRef50_A0A9D1REE3",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"17","Acutalibacteraceae","UniRef50_A0A355L5Q6",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"18","Acutalibacteraceae","UniRef50_A0A1Q6LIE2",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"19","Acutalibacteraceae","UniRef50_A0A943CTQ5",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"20","Acutalibacteraceae","UniRef50_R6QH13",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"21","Acutalibacteraceae","UniRef50_A0A3D2TRC7",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"22","Acutalibacteraceae","UniRef50_K1RDD1",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"23","Acutalibacteraceae","UniRef50_A0A1T4M2G1",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"24","Acutalibacteraceae","UniRef50_A0A4U7NGH5",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"25","Acutalibacteraceae","UniRef50_A0A9E0ZU28",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"26","Acutalibacteraceae","UniRef50_C0EXP1",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"27","Acutalibacteraceae","UniRef50_A0A355L3C0",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"28","Acutalibacteraceae","UniRef50_K1UF76",-0.00354683440166973,2.10348892748513e-07,NA,NA,6.19897364467611e-05
"29","Acutalibacteraceae","UniRef50_K1TJK2",0.00411384490832196,4.23383767156338e-07,NA,NA,6.19897364467611e-05
"30","Acutalibacteraceae","UniRef50_A0A355X5U6",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"31","Acutalibacteraceae","UniRef50_A0A3C1CXA0",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"32","Acutalibacteraceae","UniRef50_A0A9E0ZSZ6",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"33","Acutalibacteraceae","UniRef50_A0A9D1RC37",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"34","Acutalibacteraceae","UniRef50_A0A3D0X9J1",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"35","Acutalibacteraceae","UniRef50_R9KHP5",-0.0027295733756502,2.9921079547357e-07,NA,NA,6.19897364467611e-05
"36","Acutalibacteraceae","UniRef50_R5Y8C6",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"37","Acutalibacteraceae","UniRef50_A0A1Y4B863",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"38","Acutalibacteraceae","UniRef50_A0A1T4NCC9",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"39","Acutalibacteraceae","UniRef50_A0A415GAM1",0.0062418848974748,2.04301955575303e-07,NA,NA,6.19897364467611e-05
"40","Acutalibacteraceae","UniRef50_A0A355X883",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"41","Acutalibacteraceae","UniRef50_A0A355X852",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"42","Acutalibacteraceae","UniRef50_A0A316RFE5",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"43","Acutalibacteraceae","UniRef50_A0A3D1VGB1",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"44","Acutalibacteraceae","UniRef50_A0A3D4CC29",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"45","Acutalibacteraceae","UniRef50_A0A355L3D1",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"46","Acutalibacteraceae","UniRef50_A0A355X5P3",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"47","Acutalibacteraceae","UniRef50_UPI00235225CE",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"48","Acutalibacteraceae","UniRef50_A0A351X9N2",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"49","Acutalibacteraceae","UniRef50_R6IS42",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"50","Acutalibacteraceae","UniRef50_A0A316RCZ4",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"51","Acutalibacteraceae","UniRef50_A0A9E0ZTD0",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"52","Acutalibacteraceae","UniRef50_R7BF57",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"53","Acutalibacteraceae","UniRef50_A0A355X8F3",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"54","Acutalibacteraceae","UniRef50_A0A3D1VGC6",-0.00297779246568251,3.4215431798934e-07,NA,NA,6.19897364467611e-05
"55","Acutalibacteraceae","UniRef50_A0A949VN13",0.00660150404034858,5.43681554665554e-07,NA,NA,6.19897364467611e-05
"56","Acutalibacteraceae","UniRef50_A0A3D2TN55",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"57","Acutalibacteraceae","UniRef50_A0A1T4KSR0",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"58","Acutalibacteraceae","UniRef50_R6IPH3",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"59","Acutalibacteraceae","UniRef50_A0A316R9T4",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"60","Acutalibacteraceae","UniRef50_A0A3R7A848",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"61","Acutalibacteraceae","UniRef50_A0A355X7R5",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"62","Acutalibacteraceae","UniRef50_A0A3D2TRY0",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"63","Acutalibacteraceae","UniRef50_K1RRS3",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"64","Acutalibacteraceae","UniRef50_A0A316R4H3",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"65","Acutalibacteraceae","UniRef50_K1S821",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"66","Acutalibacteraceae","UniRef50_R7BB24",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"67","Acutalibacteraceae","UniRef50_A0A316R3Q7",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"68","Acutalibacteraceae","UniRef50_R5XBY8",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"69","Acutalibacteraceae","UniRef50_R6IPD6",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"70","Acutalibacteraceae","UniRef50_R6IM33",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"71","Acutalibacteraceae","UniRef50_A0A2V2EK99",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
"72","Acutalibacteraceae","UniRef50_A0A1Q6LK51",-0.00289837694493856,7.2684783103405e-07,NA,NA,6.19897364467611e-05
